TEMPO_VIVIE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;BOLSA_FAMILIA;POP_RUA;GRAU_INSTRUCAO;COR_RACA;FAIXA_RENDA_FAMILIAR_PER_CAPITA;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Entre cinco e dez anos;Nunca;09/12/1972 00:00;46;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;31/03/1993 00:00;26;FEMININO;NÃO;SIM;Medio incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;05/04/1986 00:00;33;FEMININO;NÃO;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;19/12/2015 00:00;3;FEMININO;NÃO;SIM;NÃ£o Informado;Parda;Entre R$178,01 ate 1/2 S.M.;;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Ate seis meses;Quase nunca;15/10/1983 00:00;36;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;120;CRAS PROVIDENCIA;NORTE;19 a 24 Meses;out/19
Ate seis meses;Nunca;12/07/1975 00:00;44;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Mais de dez anos;Nunca;16/11/1979 00:00;39;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;04/11/1988 00:00;30;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Todo ano;28/02/1976 00:00;43;FEMININO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Mais de dez anos;Toda semana;17/04/1973 00:00;46;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;02/08/1976 00:00;43;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre dois e cinco anos;Nunca;30/11/1991 00:00;27;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;05/02/1978 00:00;41;FEMININO;NÃO;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Mais de dez anos;Nunca;15/10/1954 00:00;65;FEMININO;NÃO;SIM;Sem instrucao;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;25/05/1986 00:00;33;FEMININO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;90;ENDERECO FORA AREA CRAS;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;22/07/1966 00:00;53;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;18/06/1962 00:00;57;FEMININO;NÃO;SIM;Medio completo;Branca;Acima de 1/2 S.M.;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre seis meses e um ano;Todo mês;21/02/1973 00:00;46;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Nunca;11/05/1989 00:00;30;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Todo mês;10/07/1986 00:00;33;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;10/07/1986 00:00;33;FEMININO;NÃO;SIM;Fundamental completo;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Ate seis meses;Todo mês;15/01/1969 00:00;50;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Ate seis meses;Todo dia;08/07/1990 00:00;29;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Quase nunca;15/07/1972 00:00;47;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre dois e cinco anos;Todo ano;01/06/1980 00:00;39;FEMININO;NÃO;SIM;Medio completo;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NORTE;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;19/06/1981 00:00;38;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Nunca;18/02/1996 00:00;23;FEMININO;NÃO;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Toda semana;02/02/1981 00:00;38;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Ate seis meses;Todo mês;20/11/1981 00:00;37;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;08/09/2000 00:00;19;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;out/19
Mais de dez anos;Nunca;09/07/1981 00:00;38;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo dia;13/03/1995 00:00;24;FEMININO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre cinco e dez anos;Nunca;01/08/1995 00:00;24;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;19/06/1976 00:00;43;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;09/02/2002 00:00;17;FEMININO;NÃO;SIM;Fundamental completo;Parda;Entre R$178,01 ate 1/2 S.M.;998;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;18/03/1990 00:00;29;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;130;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre seis meses e um ano;Quase nunca;26/06/1953 00:00;66;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;29/07/1964 00:00;55;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;06/03/1989 00:00;30;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;08/12/1989 00:00;29;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;100;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;05/02/1981 00:00;38;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;13 a 18 Meses;out/19
Ate seis meses;Todo dia;19/07/1970 00:00;49;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Nunca;20/09/1961 00:00;58;FEMININO;NÃO;SIM;Medio completo;Branca;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;26/04/1981 00:00;38;FEMININO;NÃO;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Nunca;10/09/1979 00:00;40;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Entre R$89,01 ate R$178,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;30/07/1985 00:00;34;FEMININO;NÃO;SIM;Medio incompleto;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;14/10/1989 00:00;30;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;24/08/1980 00:00;39;FEMININO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;07/08/1976 00:00;43;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;25/11/1974 00:00;44;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;40;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;23/03/2000 00:00;19;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;280;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Todo dia;20/07/1964 00:00;55;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;CRAS GRANJA DE FREITAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;03/11/1958 00:00;60;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;10;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Entre um e dois anos;Toda semana;17/01/1989 00:00;30;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;14/06/1979 00:00;40;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;01/08/1963 00:00;56;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Ate seis meses;Todo mês;26/07/1956 00:00;63;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;11/06/1954 00:00;65;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;11/10/1978 00:00;41;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;28/02/2003 00:00;16;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;11/12/1982 00:00;36;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Quase nunca;27/07/1978 00:00;41;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NOROESTE;19 a 24 Meses;out/19
Ate seis meses;Quase nunca;24/07/1982 00:00;37;FEMININO;NÃO;SIM;Medio incompleto;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;27/03/1975 00:00;44;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;16/05/1968 00:00;51;FEMININO;NÃO;SIM;Sem instrucao;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo mês;08/10/1973 00:00;46;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;27/05/1987 00:00;32;FEMININO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;21/02/1993 00:00;26;FEMININO;NÃO;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;05/05/1974 00:00;45;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;21/05/1998 00:00;21;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Quase nunca;13/05/1995 00:00;24;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre um e dois anos;Quase nunca;07/07/1969 00:00;50;FEMININO;NÃO;SIM;Sem instrucao;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;02/09/1976 00:00;43;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Todo mês;25/07/1989 00:00;30;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;07/06/1969 00:00;50;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;02/05/1975 00:00;44;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre um e dois anos;Nunca;30/04/1966 00:00;53;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;27/04/1995 00:00;24;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;200;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Mais de dez anos;Nunca;13/07/1971 00:00;48;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Mais de dez anos;Quase nunca;13/07/1968 00:00;51;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;15/08/1960 00:00;59;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Quase nunca;28/02/1983 00:00;36;FEMININO;NÃO;SIM;Fundamental incompleto;Amarela;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Nunca;22/06/1975 00:00;44;FEMININO;NÃO;SIM;Medio incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;13/12/1987 00:00;31;FEMININO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;05/09/1970 00:00;49;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;18/01/1973 00:00;46;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Acima de 1/2 S.M.;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;05/10/1983 00:00;36;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;12;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;31/03/1983 00:00;36;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Ate seis meses;Quase nunca;05/04/1998 00:00;21;FEMININO;NÃO;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;24/07/1981 00:00;38;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;04/08/1982 00:00;37;FEMININO;NÃO;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;08/04/1973 00:00;46;FEMININO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;08/08/1983 00:00;36;FEMININO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Entre seis meses e um ano;Todo dia;06/12/1995 00:00;23;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;05/12/1976 00:00;42;FEMININO;NÃO;SIM;Fundamental completo;Preta;Ate R$89,00;45;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Nunca;11/04/1987 00:00;32;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre um e dois anos;Nunca;09/02/1979 00:00;40;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Ate seis meses;Quase nunca;21/05/1996 00:00;23;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;OESTE;ate 12 Meses;out/19
Ate seis meses;Todo mês;01/03/1992 00:00;27;FEMININO;NÃO;SIM;Sem instrucao;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Toda semana;01/10/1977 00:00;42;FEMININO;NÃO;SIM;Medio completo;Preta;Ate R$89,00;0;CRAS PROVIDÃŠNCIA;NORTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;22/02/1973 00:00;46;FEMININO;NÃO;SIM;Sem instrucao;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;15/09/1975 00:00;44;FEMININO;NÃO;SIM;Fundamental completo;Preta;Entre R$178,01 ate 1/2 S.M.;0;CRAS HAVAI-VENTOSA;OESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;08/07/1996 00:00;23;FEMININO;NÃO;SIM;Medio completo;Branca;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Nunca;04/07/1965 00:00;54;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;01/07/1990 00:00;29;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo mês;25/04/1992 00:00;27;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;29/07/1968 00:00;51;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;16/08/1998 00:00;21;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;22/03/1968 00:00;51;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;20;EndereÃ§o Fora de Ãrea CRAS;LESTE;ate 12 Meses;out/19
Ate seis meses;Todo dia;03/04/1958 00:00;61;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;14/06/1987 00:00;32;FEMININO;NÃO;SIM;Sem instrucao;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Entre seis meses e um ano;Quase nunca;20/08/1983 00:00;36;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;20/02/1987 00:00;32;FEMININO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;11/10/1953 00:00;66;FEMININO;NÃO;SIM;Fundamental completo;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Toda semana;26/05/1974 00:00;45;FEMININO;NÃO;SIM;Fundamental incompleto;Preta;Acima de 1/2 S.M.;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;13 a 18 Meses;out/19
Entre seis meses e um ano;Quase nunca;06/05/1969 00:00;50;FEMININO;NÃO;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Todo mês;24/07/1982 00:00;37;FEMININO;NÃO;SIM;Medio incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;CRAS ARTHUR DE SA - UNIAO;NORDESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;19/09/1961 00:00;58;FEMININO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;37 a 48 Meses;out/19
Entre seis meses e um ano;Nunca;11/07/1968 00:00;51;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;LESTE;13 a 18 Meses;out/19
Entre seis meses e um ano;Todo ano;09/06/1985 00:00;34;MASCULINO;NÃO;SIM;Fundamental completo;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo dia;20/09/1963 00:00;56;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Todo dia;15/04/1995 00:00;24;MASCULINO;NÃO;SIM;Medio incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;23/06/1997 00:00;22;MASCULINO;NÃO;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;11/03/1994 00:00;25;FEMININO;NÃO;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;25/03/1955 00:00;64;FEMININO;NÃO;SIM;Sem instrucao;Preta;Acima de 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NORDESTE;19 a 24 Meses;out/19
Ate seis meses;Todo dia;29/07/1994 00:00;25;MASCULINO;NÃO;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;998;EndereÃ§o Fora de Ãrea CRAS;LESTE;ate 12 Meses;out/19
Ate seis meses;Toda semana;07/03/1984 00:00;35;MASCULINO;NÃO;SIM;Medio completo;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;LESTE;ate 12 Meses;out/19
